PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,TitleGroup,Embarked,FamilySize,AgeGroup
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18,1,0,17.8,Mrs,0,2,
51,0,3,"Panula, Master. Juha Niilo",0,7,4,1,39.6875,kid,0,6,
52,0,3,"Nosworthy, Mr. Richard Cater",0,21,0,0,7.8,Mr,0,1,
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,49,1,0,76.7292,Mrs,1,2,
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29,1,0,26.0,Mrs,0,2,
55,0,1,"Ostby, Mr. Engelhart Cornelius",0,65,0,1,61.9792,Mr,1,2,
56,1,1,"Woolner, Mr. Hugh",0,30,0,0,35.5,Mr,0,1,
57,1,2,"Rugg, Miss. Emily",1,21,0,0,10.5,Miss,0,1,
58,0,3,"Novel, Mr. Mansouer",0,29,0,0,7.2292,Mr,1,1,
59,1,2,"West, Miss. Constance Mirium",1,5,1,2,27.75,Miss,0,4,
60,0,3,"Goodwin, Master. William Frederick",0,11,5,2,46.9,kid,0,8,
61,0,3,"Sirayanian, Mr. Orsen",0,22,0,0,7.2292,Mr,1,1,
62,1,1,"Icard, Miss. Amelie",1,38,0,0,80.0,Miss,0,1,
63,0,1,"Harris, Mr. Henry Birkhardt",0,45,1,0,83.475,Mr,0,2,
64,0,3,"Skoog, Master. Harald",0,4,3,2,27.9,kid,0,6,
65,0,1,"Stewart, Mr. Albert A",0,30,0,0,27.7208,Mr,1,1,
66,1,3,"Moubarek, Master. Gerios",0,4,1,1,15.2458,kid,1,3,
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,29,0,0,10.5,Mrs,0,1,
68,0,3,"Crease, Mr. Ernest James",0,19,0,0,8.1583,Mr,0,1,
69,1,3,"Andersson, Miss. Erna Alexandra",1,17,4,2,7.925,Miss,0,7,
70,0,3,"Kink, Mr. Vincenz",0,26,2,0,8.6625,Mr,0,3,
71,0,2,"Jenkin, Mr. Stephen Curnow",0,32,0,0,10.5,Mr,0,1,
72,0,3,"Goodwin, Miss. Lillian Amy",1,16,5,2,46.9,Miss,0,8,
73,0,2,"Hood, Mr. Ambrose Jr",0,21,0,0,73.5,Mr,0,1,
74,0,3,"Chronopoulos, Mr. Apostolos",0,26,1,0,14.4542,Mr,1,2,
75,1,3,"Bing, Mr. Lee",0,32,0,0,56.4958,Mr,0,1,
76,0,3,"Moen, Mr. Sigurd Hansen",0,25,0,0,7.65,Mr,0,1,
77,0,3,"Staneff, Mr. Ivan",0,30,0,0,7.8958,Mr,0,1,
78,0,3,"Moutal, Mr. Rahamin Haim",0,30,0,0,8.05,Mr,0,1,
79,1,2,"Caldwell, Master. Alden Gates",0,1,0,2,29.0,kid,0,3,
80,1,3,"Dowdell, Miss. Elizabeth",1,30,0,0,12.475,Miss,0,1,
81,0,3,"Waelens, Mr. Achille",0,22,0,0,9.0,Mr,0,1,
82,1,3,"Sheerlinck, Mr. Jan Baptist",0,29,0,0,9.5,Mr,0,1,
83,1,3,"McDermott, Miss. Brigdet Delia",1,21,0,0,7.7875,Miss,2,1,
84,0,1,"Carrau, Mr. Francisco M",0,28,0,0,47.1,Mr,0,1,
85,1,2,"Ilett, Miss. Bertha",1,17,0,0,10.5,Miss,0,1,
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,33,3,0,15.85,Mrs,0,4,
87,0,3,"Ford, Mr. William Neal",0,16,1,3,34.375,Mr,0,5,
88,0,3,"Slocovski, Mr. Selman Francis",0,30,0,0,8.05,Mr,0,1,
89,1,1,"Fortune, Miss. Mabel Helen",1,23,3,2,263.0,Miss,0,6,
90,0,3,"Celotti, Mr. Francesco",0,24,0,0,8.05,Mr,0,1,
91,0,3,"Christmann, Mr. Emil",0,29,0,0,8.05,Mr,0,1,
92,0,3,"Andreasson, Mr. Paul Edvin",0,20,0,0,7.8542,Mr,0,1,
93,0,1,"Chaffee, Mr. Herbert Fuller",0,46,1,0,61.175,Mr,0,2,
94,0,3,"Dean, Mr. Bertram Frank",0,26,1,2,20.575,Mr,0,4,
95,0,3,"Coxon, Mr. Daniel",0,59,0,0,7.25,Mr,0,1,
96,0,3,"Shorney, Mr. Charles Joseph",0,30,0,0,8.05,Mr,0,1,
97,0,1,"Goldschmidt, Mr. George B",0,71,0,0,34.6542,Mr,1,1,
98,1,1,"Greenfield, Mr. William Bertram",0,23,0,1,63.3583,Mr,1,2,
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,34,0,1,23.0,Mrs,0,2,
100,0,2,"Kantor, Mr. Sinai",0,34,1,0,26.0,Mr,0,2,
101,0,3,"Petranec, Miss. Matilda",1,28,0,0,7.8958,Miss,0,1,
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,30,0,0,7.8958,Mr,0,1,
103,0,1,"White, Mr. Richard Frasar",0,21,0,1,77.2875,Mr,0,2,
104,0,3,"Johansson, Mr. Gustaf Joel",0,33,0,0,8.6542,Mr,0,1,
105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,37,2,0,7.925,Mr,0,3,
106,0,3,"Mionoff, Mr. Stoytcho",0,28,0,0,7.8958,Mr,0,1,
107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,21,0,0,7.65,Miss,0,1,
108,1,3,"Moss, Mr. Albert Johan",0,30,0,0,7.775,Mr,0,1,
109,0,3,"Rekic, Mr. Tido",0,38,0,0,7.8958,Mr,0,1,
110,1,3,"Moran, Miss. Bertha",1,21,1,0,24.15,Miss,2,2,
111,0,1,"Porter, Mr. Walter Chamberlain",0,47,0,0,52.0,Mr,0,1,
112,0,3,"Zabour, Miss. Hileni",1,15,1,0,14.4542,Miss,1,2,
113,0,3,"Barton, Mr. David John",0,22,0,0,8.05,Mr,0,1,
114,0,3,"Jussila, Miss. Katriina",1,20,1,0,9.825,Miss,0,2,
115,0,3,"Attalah, Miss. Malake",1,17,0,0,14.4583,Miss,1,1,
116,0,3,"Pekoniemi, Mr. Edvard",0,21,0,0,7.925,Mr,0,1,
117,0,3,"Connors, Mr. Patrick",0,71,0,0,7.75,Mr,2,1,
118,0,2,"Turpin, Mr. William John Robert",0,29,1,0,21.0,Mr,0,2,
119,0,1,"Baxter, Mr. Quigg Edmond",0,24,0,1,247.5208,Mr,1,2,
120,0,3,"Andersson, Miss. Ellis Anna Maria",1,2,4,2,31.275,Miss,0,7,
121,0,2,"Hickman, Mr. Stanley George",0,21,2,0,73.5,Mr,0,3,
122,0,3,"Moore, Mr. Leonard Charles",0,30,0,0,8.05,Mr,0,1,
123,0,2,"Nasser, Mr. Nicholas",0,33,1,0,30.0708,Mr,1,2,
124,1,2,"Webber, Miss. Susan",1,33,0,0,13.0,Miss,0,1,
125,0,1,"White, Mr. Percival Wayland",0,54,0,1,77.2875,Mr,0,2,
126,1,3,"Nicola-Yarred, Master. Elias",0,12,1,0,11.2417,kid,1,2,
127,0,3,"McMahon, Mr. Martin",0,30,0,0,7.75,Mr,2,1,
128,1,3,"Madsen, Mr. Fridtjof Arne",0,24,0,0,7.1417,Mr,0,1,
129,1,3,"Peter, Miss. Anna",1,21,1,1,22.3583,Miss,1,3,
130,0,3,"Ekstrom, Mr. Johan",0,45,0,0,6.975,Mr,0,1,
131,0,3,"Drazenoic, Mr. Jozef",0,33,0,0,7.8958,Mr,1,1,
132,0,3,"Coelho, Mr. Domingos Fernandeo",0,20,0,0,7.05,Mr,0,1,
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47,1,0,14.5,Mrs,0,2,
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,29,1,0,26.0,Mrs,0,2,
135,0,2,"Sobey, Mr. Samuel James Hayden",0,25,0,0,13.0,Mr,0,1,
136,0,2,"Richard, Mr. Emile",0,23,0,0,15.0458,Mr,1,1,
137,1,1,"Newsom, Miss. Helen Monypeny",1,19,0,2,26.2833,Miss,0,3,
138,0,1,"Futrelle, Mr. Jacques Heath",0,37,1,0,53.1,Mr,0,2,
139,0,3,"Osen, Mr. Olaf Elon",0,16,0,0,9.2167,Mr,0,1,
140,0,1,"Giglio, Mr. Victor",0,24,0,0,79.2,Mr,1,1,
141,0,3,"Boulos, Mrs. Joseph (Sultana)",1,35,0,2,15.2458,Mrs,1,3,
142,1,3,"Nysten, Miss. Anna Sofia",1,22,0,0,7.75,Miss,0,1,
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,24,1,0,15.85,Mrs,0,2,
144,0,3,"Burke, Mr. Jeremiah",0,19,0,0,6.75,Mr,2,1,
145,0,2,"Andrew, Mr. Edgardo Samuel",0,18,0,0,11.5,Mr,0,1,
146,0,2,"Nicholls, Mr. Joseph Charles",0,19,1,1,36.75,Mr,0,3,
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,27,0,0,7.7958,Mr,0,1,
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,9,2,2,34.375,Miss,0,5,
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,37,0,2,26.0,Mr,0,3,
150,0,2,"Byles, Rev. Thomas Roussel Davids",0,42,0,0,13.0,Mr,0,1,
151,0,2,"Bateman, Rev. Robert James",0,51,0,0,12.525,Mr,0,1,
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,22,1,0,66.6,Mrs,0,2,
153,0,3,"Meo, Mr. Alfonzo",0,56,0,0,8.05,Mr,0,1,
154,0,3,"van Billiard, Mr. Austin Blyler",0,41,0,2,14.5,Mr,0,3,
155,0,3,"Olsen, Mr. Ole Martin",0,30,0,0,7.3125,Mr,0,1,
156,0,1,"Williams, Mr. Charles Duane",0,51,0,1,61.3792,Mr,1,2,
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,16,0,0,7.7333,Miss,2,1,
158,0,3,"Corn, Mr. Harry",0,30,0,0,8.05,Mr,0,1,
159,0,3,"Smiljanic, Mr. Mile",0,30,0,0,8.6625,Mr,0,1,
160,0,3,"Sage, Master. Thomas Henry",0,4,8,2,69.55,kid,0,11,
161,0,3,"Cribb, Mr. John Hatfield",0,44,0,1,16.1,Mr,0,2,
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,40,0,0,15.75,Mrs,0,1,
163,0,3,"Bengtsson, Mr. John Viktor",0,26,0,0,7.775,Mr,0,1,
164,0,3,"Calic, Mr. Jovo",0,17,0,0,8.6625,Mr,0,1,
165,0,3,"Panula, Master. Eino Viljami",0,1,4,1,39.6875,kid,0,6,
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,9,0,2,20.525,kid,0,3,
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,35,0,1,55.0,Mrs,0,2,
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,45,1,4,27.9,Mrs,0,6,
169,0,1,"Baumann, Mr. John D",0,30,0,0,25.925,Mr,0,1,
170,0,3,"Ling, Mr. Lee",0,28,0,0,56.4958,Mr,0,1,
171,0,1,"Van der hoef, Mr. Wyckoff",0,61,0,0,33.5,Mr,0,1,
172,0,3,"Rice, Master. Arthur",0,4,4,1,29.125,kid,2,6,
173,1,3,"Johnson, Miss. Eleanor Ileen",1,1,1,1,11.1333,Miss,0,3,
174,0,3,"Sivola, Mr. Antti Wilhelm",0,21,0,0,7.925,Mr,0,1,
175,0,1,"Smith, Mr. James Clinch",0,56,0,0,30.6958,Mr,1,1,
176,0,3,"Klasen, Mr. Klas Albin",0,18,1,1,7.8542,Mr,0,3,
177,0,3,"Lefebre, Master. Henry Forbes",0,4,3,1,25.4667,kid,0,5,
178,0,1,"Isham, Miss. Ann Elizabeth",1,50,0,0,28.7125,Miss,1,1,
179,0,2,"Hale, Mr. Reginald",0,30,0,0,13.0,Mr,0,1,
180,0,3,"Leonard, Mr. Lionel",0,36,0,0,0.0,Mr,0,1,
181,0,3,"Sage, Miss. Constance Gladys",1,21,8,2,69.55,Miss,0,11,
182,0,2,"Pernot, Mr. Rene",0,30,0,0,15.05,Mr,1,1,
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",0,9,4,2,31.3875,kid,0,7,
184,1,2,"Becker, Master. Richard F",0,1,2,1,39.0,kid,0,4,
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",1,4,0,2,22.025,Miss,0,3,
186,0,1,"Rood, Mr. Hugh Roscoe",0,30,0,0,50.0,Mr,0,1,
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,35,1,0,15.5,Mrs,2,2,
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,45,0,0,26.55,Mr,0,1,
189,0,3,"Bourke, Mr. John",0,40,1,1,15.5,Mr,2,3,
190,0,3,"Turcin, Mr. Stjepan",0,36,0,0,7.8958,Mr,0,1,
191,1,2,"Pinsky, Mrs. (Rosa)",1,32,0,0,13.0,Mrs,0,1,
192,0,2,"Carbines, Mr. William",0,19,0,0,13.0,Mr,0,1,
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,19,1,0,7.8542,Miss,0,2,
194,1,2,"Navratil, Master. Michel M",0,3,1,1,26.0,kid,0,3,
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,44,0,0,27.7208,Mrs,1,1,
196,1,1,"Lurette, Miss. Elise",1,58,0,0,146.5208,Miss,1,1,
197,0,3,"Mernagh, Mr. Robert",0,30,0,0,7.75,Mr,2,1,
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",0,42,0,1,8.4042,Mr,0,2,
199,1,3,"Madigan, Miss. Margaret ""Maggie""",1,21,0,0,7.75,Miss,2,1,
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,24,0,0,13.0,Miss,0,1,
201,0,3,"Vande Walle, Mr. Nestor Cyriel",0,28,0,0,9.5,Mr,0,1,
202,0,3,"Sage, Mr. Frederick",0,30,8,2,69.55,Mr,0,11,
203,0,3,"Johanson, Mr. Jakob Alfred",0,34,0,0,6.4958,Mr,0,1,
204,0,3,"Youseff, Mr. Gerious",0,46,0,0,7.225,Mr,1,1,
205,1,3,"Cohen, Mr. Gurshon ""Gus""",0,18,0,0,8.05,Mr,0,1,
206,0,3,"Strom, Miss. Telma Matilda",1,2,0,1,10.4625,Miss,0,2,
207,0,3,"Backstrom, Mr. Karl Alfred",0,32,1,0,15.85,Mr,0,2,
208,1,3,"Albimona, Mr. Nassef Cassem",0,26,0,0,18.7875,Mr,1,1,
209,1,3,"Carr, Miss. Helen ""Ellen""",1,16,0,0,7.75,Miss,2,1,
210,1,1,"Blank, Mr. Henry",0,40,0,0,31.0,Mr,1,1,
211,0,3,"Ali, Mr. Ahmed",0,24,0,0,7.05,Mr,0,1,
212,1,2,"Cameron, Miss. Clear Annie",1,35,0,0,21.0,Miss,0,1,
213,0,3,"Perkin, Mr. John Henry",0,22,0,0,7.25,Mr,0,1,
214,0,2,"Givard, Mr. Hans Kristensen",0,30,0,0,13.0,Mr,0,1,
215,0,3,"Kiernan, Mr. Philip",0,30,1,0,7.75,Mr,2,2,
216,1,1,"Newell, Miss. Madeleine",1,31,1,0,113.275,Miss,1,2,
217,1,3,"Honkanen, Miss. Eliina",1,27,0,0,7.925,Miss,0,1,
218,0,2,"Jacobsohn, Mr. Sidney Samuel",0,42,1,0,27.0,Mr,0,2,
219,1,1,"Bazzani, Miss. Albina",1,32,0,0,76.2917,Miss,1,1,
220,0,2,"Harris, Mr. Walter",0,30,0,0,10.5,Mr,0,1,
221,1,3,"Sunderland, Mr. Victor Francis",0,16,0,0,8.05,Mr,0,1,
222,0,2,"Bracken, Mr. James H",0,27,0,0,13.0,Mr,0,1,
223,0,3,"Green, Mr. George Henry",0,51,0,0,8.05,Mr,0,1,
224,0,3,"Nenkoff, Mr. Christo",0,30,0,0,7.8958,Mr,0,1,
225,1,1,"Hoyt, Mr. Frederick Maxfield",0,38,1,0,90.0,Mr,0,2,
226,0,3,"Berglund, Mr. Karl Ivar Sven",0,22,0,0,9.35,Mr,0,1,
227,1,2,"Mellors, Mr. William John",0,19,0,0,10.5,Mr,0,1,
228,0,3,"Lovell, Mr. John Hall (""Henry"")",0,21,0,0,7.25,Mr,0,1,
229,0,2,"Fahlstrom, Mr. Arne Jonas",0,18,0,0,13.0,Mr,0,1,
230,0,3,"Lefebre, Miss. Mathilde",1,21,3,1,25.4667,Miss,0,5,
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,35,1,0,83.475,Mrs,0,2,
232,0,3,"Larsson, Mr. Bengt Edvin",0,29,0,0,7.775,Mr,0,1,
233,0,2,"Sjostedt, Mr. Ernst Adolf",0,59,0,0,13.5,Mr,0,1,
234,1,3,"Asplund, Miss. Lillian Gertrud",1,5,4,2,31.3875,Miss,0,7,
235,0,2,"Leyson, Mr. Robert William Norman",0,24,0,0,10.5,Mr,0,1,
236,0,3,"Harknett, Miss. Alice Phoebe",1,21,0,0,7.55,Miss,0,1,
237,0,2,"Hold, Mr. Stephen",0,44,1,0,26.0,Mr,0,2,
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",1,8,0,2,26.25,Miss,0,3,
239,0,2,"Pengelly, Mr. Frederick William",0,19,0,0,10.5,Mr,0,1,
240,0,2,"Hunt, Mr. George Henry",0,33,0,0,12.275,Mr,0,1,
241,0,3,"Zabour, Miss. Thamine",1,21,1,0,14.4542,Miss,1,2,
242,1,3,"Murphy, Miss. Katherine ""Kate""",1,21,1,0,15.5,Miss,2,2,
243,0,2,"Coleridge, Mr. Reginald Charles",0,29,0,0,10.5,Mr,0,1,
244,0,3,"Maenpaa, Mr. Matti Alexanteri",0,22,0,0,7.125,Mr,0,1,
245,0,3,"Attalah, Mr. Sleiman",0,30,0,0,7.225,Mr,1,1,
246,0,1,"Minahan, Dr. William Edward",0,44,2,0,90.0,Dr,2,3,
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",1,25,0,0,7.775,Miss,0,1,
248,1,2,"Hamalainen, Mrs. William (Anna)",1,24,0,2,14.5,Mrs,0,3,
249,1,1,"Beckwith, Mr. Richard Leonard",0,37,1,1,52.5542,Mr,0,3,
250,0,2,"Carter, Rev. Ernest Courtenay",0,54,1,0,26.0,Mr,0,2,
251,0,3,"Reed, Mr. James George",0,30,0,0,7.25,Mr,0,1,
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",1,29,1,1,10.4625,Mrs,0,3,
253,0,1,"Stead, Mr. William Thomas",0,62,0,0,26.55,Mr,0,1,
254,0,3,"Lobb, Mr. William Arthur",0,30,1,0,16.1,Mr,0,2,
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",1,41,0,2,20.2125,Mrs,0,3,
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,29,0,2,15.2458,Mrs,1,3,
257,1,1,"Thorne, Mrs. Gertrude Maybelle",1,35,0,0,79.2,Mrs,1,1,
258,1,1,"Cherry, Miss. Gladys",1,30,0,0,86.5,Miss,0,1,
259,1,1,"Ward, Miss. Anna",1,35,0,0,512.3292,Miss,1,1,
260,1,2,"Parrish, Mrs. (Lutie Davis)",1,50,0,1,26.0,Mrs,0,2,
261,0,3,"Smith, Mr. Thomas",0,30,0,0,7.75,Mr,2,1,
262,1,3,"Asplund, Master. Edvin Rojj Felix",0,3,4,2,31.3875,kid,0,7,
263,0,1,"Taussig, Mr. Emil",0,52,1,1,79.65,Mr,0,3,
264,0,1,"Harrison, Mr. William",0,40,0,0,0.0,Mr,0,1,
265,0,3,"Henry, Miss. Delia",1,21,0,0,7.75,Miss,2,1,
266,0,2,"Reeves, Mr. David",0,36,0,0,10.5,Mr,0,1,
267,0,3,"Panula, Mr. Ernesti Arvid",0,16,4,1,39.6875,Mr,0,6,
268,1,3,"Persson, Mr. Ernst Ulrik",0,25,1,0,7.775,Mr,0,2,
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",1,58,0,1,153.4625,Mrs,0,2,
270,1,1,"Bissette, Miss. Amelia",1,35,0,0,135.6333,Miss,0,1,
271,0,1,"Cairns, Mr. Alexander",0,30,0,0,31.0,Mr,0,1,
272,1,3,"Tornquist, Mr. William Henry",0,25,0,0,0.0,Mr,0,1,
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",1,41,0,1,19.5,Mrs,0,2,
274,0,1,"Natsch, Mr. Charles H",0,37,0,1,29.7,Mr,1,2,
275,1,3,"Healy, Miss. Hanora ""Nora""",1,21,0,0,7.75,Miss,2,1,
276,1,1,"Andrews, Miss. Kornelia Theodosia",1,63,1,0,77.9583,Miss,0,2,
277,0,3,"Lindblom, Miss. Augusta Charlotta",1,45,0,0,7.75,Miss,0,1,
278,0,2,"Parkes, Mr. Francis ""Frank""",0,30,0,0,0.0,Mr,0,1,
279,0,3,"Rice, Master. Eric",0,7,4,1,29.125,kid,2,6,
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",1,35,1,1,20.25,Mrs,0,3,
281,0,3,"Duane, Mr. Frank",0,65,0,0,7.75,Mr,2,1,
282,0,3,"Olsson, Mr. Nils Johan Goransson",0,28,0,0,7.8542,Mr,0,1,
283,0,3,"de Pelsmaeker, Mr. Alfons",0,16,0,0,9.5,Mr,0,1,
284,1,3,"Dorking, Mr. Edward Arthur",0,19,0,0,8.05,Mr,0,1,
285,0,1,"Smith, Mr. Richard William",0,30,0,0,26.0,Mr,0,1,
286,0,3,"Stankovic, Mr. Ivan",0,33,0,0,8.6625,Mr,1,1,
287,1,3,"de Mulder, Mr. Theodore",0,30,0,0,9.5,Mr,0,1,
288,0,3,"Naidenoff, Mr. Penko",0,22,0,0,7.8958,Mr,0,1,
289,1,2,"Hosono, Mr. Masabumi",0,42,0,0,13.0,Mr,0,1,
290,1,3,"Connolly, Miss. Kate",1,22,0,0,7.75,Miss,2,1,
291,1,1,"Barber, Miss. Ellen ""Nellie""",1,26,0,0,78.85,Miss,0,1,
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",1,19,1,0,91.0792,Mrs,1,2,
293,0,2,"Levy, Mr. Rene Jacques",0,36,0,0,12.875,Mr,1,1,
294,0,3,"Haas, Miss. Aloisia",1,24,0,0,8.85,Miss,0,1,
295,0,3,"Mineff, Mr. Ivan",0,24,0,0,7.8958,Mr,0,1,
296,0,1,"Lewy, Mr. Ervin G",0,30,0,0,27.7208,Mr,1,1,
297,0,3,"Hanna, Mr. Mansour",0,24,0,0,7.2292,Mr,1,1,
298,0,1,"Allison, Miss. Helen Loraine",1,2,1,2,151.55,Miss,0,4,
299,1,1,"Saalfeld, Mr. Adolphe",0,30,0,0,30.5,Mr,0,1,
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,50,0,1,247.5208,Mrs,1,2,
